row_idx,col_name,fault_type,old_value,new_value
136,age,drift,63.0,116.75421955903869
137,age,drift,30.0,83.75421955903869
138,age,drift,57.0,110.75421955903869
139,age,drift,59.0,112.75421955903869
140,age,drift,26.0,79.75421955903869
141,age,drift,67.0,120.75421955903869
142,age,drift,44.0,97.75421955903869
143,age,drift,75.0,128.7542195590387
144,age,drift,19.0,72.75421955903869
145,age,drift,22.0,75.75421955903869
146,age,drift,46.0,99.75421955903869
147,age,drift,54.0,107.75421955903869
148,age,drift,55.0,108.75421955903869
149,age,drift,36.0,89.75421955903869
150,age,drift,25.0,78.75421955903869
151,age,drift,65.0,118.75421955903869
152,age,drift,62.0,115.75421955903869
153,age,drift,18.0,71.75421955903869
154,age,drift,39.0,92.75421955903869
155,age,drift,69.0,122.75421955903869
156,age,drift,34.0,87.75421955903869
157,age,drift,24.0,77.75421955903869
158,age,drift,42.0,95.75421955903869
159,age,drift,62.0,115.75421955903869
160,age,drift,21.0,74.75421955903869
161,age,drift,53.0,106.75421955903869
162,age,drift,23.0,76.75421955903869
163,age,drift,77.0,130.7542195590387
164,age,drift,48.0,101.75421955903869
165,age,drift,36.0,89.75421955903869
166,age,drift,78.0,131.7542195590387
167,age,drift,61.0,114.75421955903869
168,age,drift,71.0,124.75421955903869
169,age,drift,56.0,109.75421955903869
170,age,drift,44.0,97.75421955903869
171,age,drift,27.0,80.75421955903869
172,age,drift,43.0,96.75421955903869
173,age,drift,36.0,89.75421955903869
174,age,drift,56.0,109.75421955903869
175,age,drift,79.0,132.7542195590387
176,age,drift,20.0,73.75421955903869
177,age,drift,62.0,115.75421955903869
178,age,drift,30.0,83.75421955903869
179,age,drift,67.0,120.75421955903869
180,age,drift,45.0,98.75421955903869
181,age,drift,79.0,132.7542195590387
182,age,drift,75.0,128.7542195590387
183,age,drift,37.0,90.75421955903869
184,age,drift,45.0,98.75421955903869
185,age,drift,25.0,78.75421955903869
186,age,drift,78.0,131.7542195590387
187,age,drift,58.0,111.75421955903869
188,age,drift,56.0,109.75421955903869
189,age,drift,18.0,71.75421955903869
190,age,drift,20.0,73.75421955903869
191,age,drift,30.0,83.75421955903869
192,age,drift,45.0,98.75421955903869
193,age,drift,79.0,132.7542195590387
194,age,drift,74.0,127.75421955903869
195,age,drift,77.0,130.7542195590387
196,age,drift,66.0,119.75421955903869
197,age,drift,42.0,95.75421955903869
198,age,drift,73.0,126.75421955903869
199,age,drift,50.0,103.75421955903869
200,age,drift,55.0,108.75421955903869
201,age,drift,70.0,123.75421955903869
202,age,drift,23.0,76.75421955903869
203,age,drift,75.0,128.7542195590387
204,age,drift,61.0,114.75421955903869
205,age,drift,62.0,115.75421955903869
206,age,drift,49.0,102.75421955903869
207,age,drift,62.0,115.75421955903869
208,age,drift,78.0,131.7542195590387
209,age,drift,64.0,117.75421955903869
210,age,drift,38.0,91.75421955903869
211,age,drift,33.0,86.75421955903869
212,age,drift,71.0,124.75421955903869
213,age,drift,38.0,91.75421955903869
214,age,drift,28.0,81.75421955903869
215,age,drift,77.0,130.7542195590387
216,age,drift,54.0,107.75421955903869
217,age,drift,53.0,106.75421955903869
218,age,drift,52.0,105.75421955903869
219,age,drift,36.0,89.75421955903869
220,age,drift,37.0,90.75421955903869
221,age,drift,74.0,127.75421955903869
222,age,drift,35.0,88.75421955903869
223,age,drift,64.0,117.75421955903869
224,age,drift,58.0,111.75421955903869
225,age,drift,66.0,119.75421955903869
226,age,drift,31.0,84.75421955903869
227,age,drift,32.0,85.75421955903869
228,age,drift,48.0,101.75421955903869
229,age,drift,18.0,71.75421955903869
230,age,drift,70.0,123.75421955903869
231,age,drift,71.0,124.75421955903869
232,age,drift,71.0,124.75421955903869
233,age,drift,20.0,73.75421955903869
234,age,drift,33.0,86.75421955903869
235,age,drift,40.0,93.75421955903869
236,age,drift,74.0,127.75421955903869
237,age,drift,28.0,81.75421955903869
238,age,drift,29.0,82.75421955903869
239,age,drift,27.0,80.75421955903869
240,age,drift,49.0,102.75421955903869
241,age,drift,33.0,86.75421955903869
242,age,drift,25.0,78.75421955903869
243,age,drift,55.0,108.75421955903869
244,age,drift,29.0,82.75421955903869
245,age,drift,41.0,94.75421955903869
246,age,drift,45.0,98.75421955903869
247,age,drift,70.0,123.75421955903869
248,age,drift,25.0,78.75421955903869
249,age,drift,75.0,128.7542195590387
250,age,drift,45.0,98.75421955903869
251,age,drift,53.0,106.75421955903869
252,age,drift,43.0,96.75421955903869
253,age,drift,25.0,78.75421955903869
254,age,drift,75.0,128.7542195590387
255,age,drift,77.0,130.7542195590387
256,age,drift,67.0,120.75421955903869
257,age,drift,45.0,98.75421955903869
258,age,drift,45.0,98.75421955903869
259,age,drift,54.0,107.75421955903869
260,age,drift,58.0,111.75421955903869
261,age,drift,53.0,106.75421955903869
262,age,drift,44.0,97.75421955903869
263,age,drift,71.0,124.75421955903869
264,age,drift,34.0,87.75421955903869
265,age,drift,26.0,79.75421955903869
266,age,drift,50.0,103.75421955903869
267,age,drift,70.0,123.75421955903869
268,age,drift,37.0,90.75421955903869
269,age,drift,30.0,83.75421955903869
270,age,drift,45.0,98.75421955903869
271,age,drift,65.0,118.75421955903869
272,age,drift,46.0,99.75421955903869
273,age,drift,30.0,83.75421955903869
274,age,drift,63.0,116.75421955903869
275,age,drift,52.0,105.75421955903869
276,age,drift,78.0,131.7542195590387
277,age,drift,23.0,76.75421955903869
278,age,drift,35.0,88.75421955903869
279,age,drift,68.0,121.75421955903869
280,age,drift,22.0,75.75421955903869
281,age,drift,64.0,117.75421955903869
282,age,drift,42.0,95.75421955903869
283,age,drift,19.0,72.75421955903869
284,age,drift,27.0,80.75421955903869
285,age,drift,73.0,126.75421955903869
286,age,drift,47.0,100.75421955903869
287,age,drift,67.0,120.75421955903869
288,age,drift,76.0,129.7542195590387
289,age,drift,62.0,115.75421955903869
290,age,drift,22.0,75.75421955903869
291,age,drift,72.0,125.75421955903869
292,age,drift,73.0,126.75421955903869
293,age,drift,50.0,103.75421955903869
294,age,drift,71.0,124.75421955903869
295,age,drift,18.0,71.75421955903869
296,age,drift,35.0,88.75421955903869
297,age,drift,49.0,102.75421955903869
298,age,drift,64.0,117.75421955903869
299,age,drift,66.0,119.75421955903869
44,hours_per_week,impossible_value,30.0,-5
208,hours_per_week,impossible_value,35.0,9999
136,hours_per_week,impossible_value,57.0,-5
55,hours_per_week,impossible_value,54.0,-999
19,hours_per_week,impossible_value,18.0,9999
194,hours_per_week,impossible_value,47.0,-5
274,hours_per_week,impossible_value,47.0,-5
287,hours_per_week,impossible_value,13.0,9999
170,hours_per_week,impossible_value,42.0,-5
174,hours_per_week,impossible_value,48.0,-999
26,hours_per_week,impossible_value,41.0,-999
81,hours_per_week,impossible_value,38.0,9999
69,hours_per_week,impossible_value,31.0,-999
172,hours_per_week,impossible_value,24.0,9999
125,hours_per_week,impossible_value,55.0,-5
83,hours_per_week,impossible_value,58.0,-999
0,hours_per_week,impossible_value,25.0,-5
223,hours_per_week,impossible_value,54.0,-999
193,hours_per_week,impossible_value,38.0,-5
35,hours_per_week,impossible_value,55.0,9999
3,hours_per_week,impossible_value,57.0,9999
161,hours_per_week,impossible_value,45.0,9999
229,hours_per_week,impossible_value,41.0,-999
52,hours_per_week,impossible_value,13.0,9999
22,hours_per_week,impossible_value,44.0,-5
47,hours_per_week,impossible_value,38.0,-5
72,hours_per_week,impossible_value,26.0,9999
64,hours_per_week,impossible_value,10.0,9999
10,hours_per_week,impossible_value,30.0,-999
149,hours_per_week,impossible_value,54.0,9999
220,hours_per_week,impossible_value,27.0,-5
293,hours_per_week,impossible_value,51.0,-999
244,hours_per_week,impossible_value,48.0,-999
135,hours_per_week,impossible_value,21.0,9999
240,hours_per_week,impossible_value,41.0,-5
18,hours_per_week,impossible_value,42.0,-5
156,hours_per_week,impossible_value,27.0,-5
175,hours_per_week,impossible_value,11.0,-999
267,hours_per_week,impossible_value,58.0,-999
247,hours_per_week,impossible_value,46.0,-999
105,hours_per_week,impossible_value,51.0,-5
269,hours_per_week,impossible_value,14.0,-999
289,hours_per_week,impossible_value,36.0,-999
6,hours_per_week,impossible_value,44.0,-5
203,hours_per_week,impossible_value,44.0,-5
262,hours_per_week,impossible_value,56.0,9999
222,hours_per_week,impossible_value,44.0,-5
275,hours_per_week,impossible_value,10.0,-5
248,hours_per_week,impossible_value,16.0,9999
266,hours_per_week,impossible_value,58.0,-5
214,hours_per_week,impossible_value,32.0,-999
191,hours_per_week,impossible_value,36.0,-999
261,hours_per_week,impossible_value,52.0,9999
16,hours_per_week,impossible_value,12.0,-999
92,hours_per_week,impossible_value,22.0,9999
42,hours_per_week,impossible_value,31.0,-5
249,hours_per_week,impossible_value,13.0,9999
134,hours_per_week,impossible_value,54.0,-999
87,hours_per_week,impossible_value,44.0,-999
171,hours_per_week,impossible_value,21.0,-5
-1,age,schema_violation,age,age_RENAMED
274,education_years,null_injection,7.0,
37,occupation,null_injection,Admin,
206,age_RENAMED,null_injection,102.75421955903869,
165,hours_per_week,null_injection,56.0,
241,age_RENAMED,null_injection,86.75421955903869,
287,hours_per_week,null_injection,9999.0,
212,hours_per_week,null_injection,40.0,
12,marital_status,null_injection,Single,
83,education_years,null_injection,8.0,
32,marital_status,null_injection,Married,
73,hours_per_week,null_injection,21.0,
120,marital_status,null_injection,Married,
40,marital_status,null_injection,Married,
29,occupation,null_injection,Craft,
198,occupation,null_injection,Tech,
156,income,null_injection,33442.5,
149,education_years,null_injection,14.0,
188,income,null_injection,67199.45,
273,hours_per_week,null_injection,21.0,
264,age_RENAMED,null_injection,87.75421955903869,
85,occupation,null_injection,Craft,
197,education_years,null_injection,6.0,
31,marital_status,null_injection,Married,
69,education_years,null_injection,6.0,
10,hours_per_week,null_injection,-999.0,
230,marital_status,null_injection,Single,
230,hours_per_week,null_injection,12.0,
219,age_RENAMED,null_injection,89.75421955903869,
81,occupation,null_injection,Admin,
166,occupation,null_injection,Service,
263,occupation,null_injection,Craft,
70,hours_per_week,null_injection,34.0,
256,age_RENAMED,null_injection,120.75421955903869,
279,marital_status,null_injection,Single,
188,income,null_injection,,
291,hours_per_week,null_injection,52.0,
47,hours_per_week,null_injection,-5.0,
259,income,null_injection,47390.01,
104,hours_per_week,null_injection,58.0,
135,education_years,null_injection,6.0,
22,occupation,null_injection,Tech,
41,income,null_injection,49025.19,
258,income,null_injection,46107.58,
8,income,null_injection,80736.34,
137,occupation,null_injection,Craft,
118,age_RENAMED,null_injection,128.7542195590387,
162,age_RENAMED,null_injection,76.75421955903869,
174,occupation,null_injection,Service,
275,income,null_injection,49239.52,
273,income,null_injection,49158.73,
247,education_years,null_injection,11.0,
203,age_RENAMED,null_injection,128.7542195590387,
131,marital_status,null_injection,Divorced,
295,education_years,null_injection,19.0,
174,education_years,null_injection,18.0,
114,occupation,null_injection,Tech,
64,occupation,null_injection,Craft,
3,occupation,null_injection,Craft,
253,hours_per_week,null_injection,56.0,
299,age_RENAMED,null_injection,119.75421955903869,
