age,income,hours_per_week,education_years,occupation,marital_status
75,70679.69,58,11,Tech,Divorced
26,51462.1,45,14,Service,Divorced
43,53848.54,13,13,Admin,Divorced
70,80243.9,23,15,Admin,Married
19,90724.55,50,8,Sales,Married
37,66790.51,50,10,Sales,Married
45,50692.9,34,12,Tech,Married
64,49380.08,59,10,Admin,Married
77,42719.85,19,13,Sales,Married
24,45621.43,30,17,Service,Married
61,50895.85,45,10,Sales,Married
78,84463.79,21,6,Sales,Married
25,52041.67,36,10,Admin,Single
64,36609.2,49,9,Admin,Married
52,55624.98,11,11,Craft,Married
31,57671.93,22,8,Service,Married
34,55534.53,41,16,Admin,Married
53,66995.37,40,10,Tech,Single
67,56035.08,25,7,Service,Divorced
57,66530.91,41,16,Service,Single
21,43294.85,41,11,Admin,Married
19,81710.94,43,18,Service,Married
79,58787.2,20,17,Admin,Married
23,61003.28,19,11,Sales,Single
71,43232.32,24,10,Craft,Married
59,62077.4,26,11,Sales,Single
21,64765.98,49,16,Admin,Single
71,37453.47,27,12,Admin,Single
46,30113.63,18,17,Sales,Single
35,59404.99,34,10,Tech,Divorced
43,47668.45,49,6,Tech,Divorced
61,58898.82,23,13,Tech,Single
51,35634.46,34,9,Admin,Married
27,31592.41,59,14,Service,Single
79,58100.34,31,19,Admin,Married
53,49753.24,39,15,Service,Married
31,23339.51,29,17,Sales,Divorced
48,75146.48,30,11,Craft,Married
65,35385.14,53,6,Service,Married
32,93599.87,41,8,Tech,Single
25,45639.75,55,8,Admin,Divorced
31,61023.41,58,15,Sales,Single
40,79704.24,30,17,Tech,Married
77,77191.51,44,17,Sales,Married
74,84792.05,41,9,Craft,Married
79,32153.86,39,11,Admin,Single
57,37962.02,48,12,Admin,Divorced
38,58389.96,58,15,Craft,Single
33,67596.21,21,9,Admin,Married
62,54831.59,50,11,Service,Single
35,30430.09,56,16,Sales,Single
64,62448.67,27,6,Tech,Married
70,52086.23,30,19,Craft,Married
41,51906.42,22,13,Service,Single
43,20830.74,30,12,Tech,Single
42,66962.26,17,16,Tech,Married
77,57178.06,55,16,Craft,Married
77,81927.47,49,14,Service,Divorced
77,53882.39,55,8,Tech,Single
62,63495.1,16,7,Tech,Single
58,67477.27,32,6,Service,Single
46,28807.58,53,8,Admin,Single
32,94250.5,41,10,Tech,Married
62,48538.11,20,19,Sales,Married
18,62418.5,31,16,Service,Single
42,64608.73,31,7,Tech,Single
24,42778.24,52,17,Craft,Single
26,82704.7,34,8,Sales,Married
41,58989.33,31,9,Tech,Divorced
18,51797.91,37,12,Sales,Single
61,57077.62,38,18,Sales,Single
25,66463.78,22,8,Admin,Divorced
41,55161.97,27,14,Sales,Divorced
28,68228.95,11,13,Admin,Married
68,29726.92,38,9,Service,Single
34,43780.45,30,18,Admin,Single
25,22918.0,24,6,Craft,Married
52,84955.12,36,6,Tech,Single
52,84759.88,59,6,Service,Single
50,64399.24,40,6,Service,Married
76,39810.73,24,13,Craft,Single
22,90848.17,32,8,Admin,Married
59,45933.78,33,11,Tech,Single
56,51801.89,53,8,Admin,Single
75,57393.0,22,16,Sales,Married
58,61772.74,31,10,Admin,Single
45,64657.04,52,18,Service,Divorced
24,65259.42,46,19,Tech,Married
26,52832.14,42,18,Admin,Single
25,65021.51,12,12,Tech,Married
29,52161.89,28,7,Tech,Single
51,63689.55,32,11,Sales,Divorced
50,62459.38,38,18,Sales,Single
65,66442.71,39,11,Service,Married
72,64569.5,48,16,Craft,Single
40,48363.51,53,8,Tech,Married
79,61880.65,56,11,Craft,Married
41,64801.0,34,15,Service,Married
54,35633.13,46,15,Tech,Single
52,50889.33,56,19,Tech,Single
61,64121.71,17,10,Craft,Married
57,80639.39,51,17,Admin,Divorced
39,67373.5,25,7,Sales,Single
44,81585.67,17,14,Admin,Married
52,49024.4,10,13,Craft,Single
18,58752.86,53,8,Sales,Divorced
52,67086.03,14,13,Admin,Single
54,20104.72,12,19,Sales,Single
64,77662.05,10,14,Tech,Married
31,27086.35,13,19,Admin,Single
20,69954.1,49,8,Sales,Married
18,65302.48,44,8,Sales,Married
22,19906.1,41,7,Sales,Single
43,20664.08,51,13,Admin,Single
72,76487.23,43,15,Service,Married
31,73220.83,52,6,Admin,Single
56,41787.05,34,13,Craft,Married
44,41771.82,19,12,Admin,Married
26,62689.07,30,19,Sales,Married
32,54808.84,55,12,Tech,Single
32,70815.93,48,8,Admin,Single
43,62193.71,36,6,Admin,Single
59,78745.46,36,9,Sales,Single
77,69551.17,11,14,Tech,Married
30,65811.6,50,10,Tech,Married
68,49718.13,57,6,Craft,Single
49,48620.18,22,10,Admin,Single
56,54223.62,18,18,Tech,Single
66,82614.15,45,13,Tech,Married
69,48905.88,31,13,Service,Single
78,58907.93,51,10,Service,Married
49,21327.96,35,17,Tech,Single
21,65137.13,21,14,Craft,Divorced
47,88857.97,26,6,Tech,Divorced
54,40995.43,23,9,Sales,Single
40,102616.63,23,8,Admin,Single
56,57733.61,43,7,Craft,Married
62,16406.03,29,13,Sales,Single
32,49216.93,20,12,Craft,Married
60,74956.58,25,14,Sales,Married
46,84989.76,40,7,Admin,Married
53,65771.48,15,19,Admin,Married
30,78513.92,28,19,Service,Single
49,37333.22,46,9,Sales,Single
24,44796.08,13,19,Service,Married
76,29808.11,56,11,Sales,Single
68,45924.05,13,16,Service,Married
39,66428.78,29,8,Admin,Single
45,58189.84,19,13,Craft,Single
19,68017.74,33,8,Service,Divorced
59,40952.29,44,19,Sales,Single
62,41867.12,35,17,Sales,Divorced
79,58069.15,46,18,Admin,Divorced
74,45960.28,47,18,Sales,Married
70,74527.74,30,7,Tech,Married
23,45588.72,49,18,Craft,Married
45,47569.16,48,18,Service,Divorced
45,61282.59,30,8,Craft,Single
61,49160.68,19,16,Admin,Married
61,36475.83,47,11,Service,Married
37,38509.66,55,7,Service,Married
47,63066.49,13,13,Tech,Married
79,34619.33,54,6,Admin,Single
28,75957.47,29,12,Sales,Married
75,44644.01,26,7,Tech,Divorced
72,64243.24,16,15,Tech,Single
45,45543.81,13,17,Craft,Divorced
42,41271.38,38,11,Craft,Married
56,58691.56,23,17,Craft,Married
79,70776.75,12,7,Tech,Married
50,51289.48,33,7,Sales,Married
18,54017.84,46,15,Service,Single
74,67111.26,25,18,Craft,Married
44,67607.91,13,13,Sales,Single
79,54422.62,33,17,Admin,Divorced
74,48347.8,43,7,Craft,Divorced
69,56239.84,39,12,Service,Single
30,52136.33,27,8,Admin,Single
58,59694.61,28,13,Admin,Married
20,37085.94,40,12,Service,Single
56,59157.72,28,19,Craft,Divorced
23,44225.45,58,13,Tech,Single
25,68588.31,55,19,Service,Single
44,44912.98,28,12,Service,Divorced
26,45173.35,31,16,Service,Married
79,61680.98,33,11,Admin,Married
54,55213.18,54,18,Sales,Single
50,89149.77,21,12,Tech,Married
68,30560.46,39,10,Craft,Married
59,56647.79,47,12,Craft,Married
61,71944.74,40,6,Sales,Married
41,46325.29,45,6,Service,Married
32,41341.63,28,14,Tech,Married
76,41937.03,57,19,Craft,Single
71,30820.58,54,10,Craft,Married
49,75245.57,45,18,Service,Single
49,50055.74,39,10,Sales,Married
41,48279.59,58,8,Tech,Single
58,23138.53,42,10,Sales,Married
69,33494.37,27,8,Sales,Married
66,76980.85,58,14,Tech,Single
79,59546.58,37,14,Tech,Single
66,72497.51,56,11,Craft,Single
75,70599.89,20,6,Craft,Married
69,39990.7,54,12,Tech,Married
29,91447.72,42,12,Admin,Single
79,84245.99,26,19,Craft,Married
56,46543.5,15,15,Admin,Single
19,1476.92,13,15,Tech,Married
20,49652.02,29,9,Craft,Divorced
66,58574.44,57,13,Sales,Single
54,46484.21,56,11,Tech,Married
66,51677.17,36,9,Service,Single
73,42570.13,24,9,Admin,Single
34,68824.52,15,7,Tech,Single
76,55954.5,56,19,Tech,Single
66,69272.71,23,7,Craft,Married
19,73333.05,20,17,Craft,Married
19,22385.15,48,19,Craft,Married
45,43442.17,18,9,Service,Single
71,45639.56,35,10,Craft,Single
40,93570.59,25,13,Tech,Married
54,57235.08,14,11,Craft,Divorced
49,67188.41,19,19,Sales,Single
50,26789.62,59,9,Craft,Divorced
18,57148.23,12,18,Service,Married
36,69674.39,22,16,Sales,Married
79,67929.48,52,12,Tech,Married
19,64350.99,58,13,Tech,Single
70,55195.01,39,7,Admin,Single
61,55923.53,54,17,Sales,Married
43,29601.01,15,12,Admin,Single
49,41492.01,26,19,Sales,Divorced
23,58464.16,54,7,Sales,Married
49,44260.36,28,7,Service,Single
72,65332.57,51,13,Admin,Married
21,62001.74,44,7,Service,Single
72,75510.55,55,16,Sales,Married
28,69373.81,35,14,Tech,Married
73,58408.92,14,17,Sales,Divorced
76,66219.71,38,6,Service,Married
34,70076.53,46,14,Admin,Married
55,47388.44,29,6,Admin,Married
41,50060.04,58,15,Service,Divorced
22,53547.61,30,18,Admin,Single
69,47867.04,19,15,Craft,Single
51,70235.3,14,7,Tech,Single
23,45590.34,45,11,Tech,Single
39,73774.77,15,11,Tech,Married
28,49495.4,35,6,Admin,Married
65,62085.95,13,12,Admin,Married
33,57496.23,48,13,Sales,Single
50,40360.3,48,7,Sales,Married
26,54701.65,59,13,Tech,Single
77,60004.65,44,14,Craft,Married
76,54035.61,10,11,Sales,Married
23,34859.4,33,10,Sales,Single
33,80521.44,45,17,Admin,Single
46,56315.49,15,14,Craft,Single
20,43085.46,50,18,Tech,Married
37,79311.52,55,17,Sales,Divorced
77,64260.85,53,16,Craft,Married
76,36997.45,40,14,Craft,Single
53,39332.58,29,6,Tech,Married
36,51664.08,33,16,Craft,Married
43,59459.6,34,8,Craft,Married
20,64342.0,45,14,Craft,Single
36,69252.68,30,16,Sales,Single
37,63093.59,39,7,Tech,Married
49,75201.19,33,17,Craft,Single
24,56901.9,53,9,Craft,Single
69,43605.41,51,9,Sales,Single
58,54949.74,39,7,Tech,Married
50,53965.29,31,8,Admin,Divorced
57,16326.77,37,18,Sales,Divorced
56,46579.5,16,8,Tech,Married
35,59713.06,44,6,Craft,Married
57,48636.77,37,11,Tech,Single
18,45306.86,23,13,Tech,Married
28,68670.64,19,17,Tech,Single
45,41251.81,25,8,Admin,Married
74,65674.34,25,10,Tech,Single
42,35008.83,40,6,Admin,Single
67,96411.43,51,15,Craft,Single
40,51764.72,34,12,Admin,Single
48,50151.02,22,15,Craft,Single
47,72145.99,15,18,Craft,Single
59,48719.43,53,6,Admin,Divorced
52,76823.92,18,17,Sales,Married
24,60573.91,54,16,Service,Married
77,53224.03,45,14,Tech,Divorced
33,51624.91,52,13,Service,Divorced
43,73113.88,29,12,Tech,Married
65,58457.31,27,15,Tech,Married
74,61484.63,52,12,Craft,Single
69,63115.03,30,10,Tech,Single
77,56994.04,13,10,Tech,Married
66,62798.08,59,16,Admin,Married
19,53225.15,42,18,Service,Married
18,54252.87,36,10,Admin,Single
65,38213.28,16,6,Tech,Single
79,59466.4,15,13,Craft,Married
29,29206.88,24,17,Admin,Single
22,59253.37,27,16,Admin,Married
54,50790.76,41,6,Sales,Married
49,60618.78,20,9,Tech,Married
76,39267.57,29,14,Craft,Married
72,23209.64,33,19,Admin,Divorced
26,49737.02,24,14,Admin,Married
58,39311.31,57,10,Craft,Married
52,28291.65,16,9,Tech,Married
36,66519.75,30,8,Sales,Single
65,79018.57,51,8,Admin,Single
33,43045.73,35,17,Sales,Single
20,53863.44,53,10,Service,Married
37,50383.22,23,15,Tech,Married
41,45116.52,46,6,Service,Married
71,64956.06,30,10,Service,Single
73,70152.12,27,11,Service,Single
50,41970.89,14,12,Tech,Divorced
41,55671.5,12,17,Tech,Single
69,74268.0,32,14,Craft,Married
28,65335.54,35,8,Sales,Married
66,67565.46,46,7,Sales,Married
25,75519.78,33,19,Craft,Single
53,75322.68,58,8,Craft,Single
55,70429.64,28,17,Service,Single
57,57174.06,34,14,Craft,Married
37,49262.75,30,17,Admin,Married
79,56552.17,21,12,Sales,Single
52,46983.9,50,14,Craft,Married
65,25712.7,42,18,Admin,Married
79,50807.51,59,7,Admin,Single
42,60362.89,13,10,Admin,Married
52,46190.96,51,18,Admin,Married
42,52108.3,16,9,Service,Single
46,52689.45,31,7,Admin,Single
35,75352.85,42,14,Service,Married
63,49608.44,26,14,Service,Divorced
35,75349.5,33,11,Admin,Married
19,14312.64,43,16,Sales,Married
71,75217.84,37,11,Admin,Married
52,74461.09,52,13,Admin,Single
33,68533.82,50,11,Admin,Married
78,24821.23,48,6,Sales,Married
58,70283.3,31,9,Tech,Single
53,54248.21,58,18,Tech,Married
50,17059.94,26,12,Service,Married
21,74472.67,43,18,Service,Single
50,76662.6,15,18,Sales,Divorced
31,26432.32,55,7,Craft,Single
38,57631.32,15,14,Tech,Single
65,75828.87,43,13,Service,Single
37,73452.42,10,13,Tech,Married
73,67540.92,19,12,Sales,Married
25,15291.21,30,9,Sales,Single
24,65943.14,14,7,Craft,Married
20,51728.44,11,8,Craft,Single
34,69937.86,31,17,Sales,Married
50,58842.42,57,11,Service,Married
65,54701.78,11,17,Tech,Married
29,64613.56,19,17,Admin,Divorced
76,52421.3,43,10,Craft,Single
68,54635.84,25,17,Admin,Single
39,46671.64,57,13,Service,Married
72,30918.87,48,11,Craft,Divorced
39,63517.8,31,11,Admin,Single
63,42909.55,21,6,Service,Single
47,51988.12,33,9,Tech,Single
55,59304.61,56,10,Service,Married
55,23721.74,49,17,Craft,Single
62,27079.77,47,16,Sales,Married
68,50503.92,19,8,Tech,Divorced
71,61818.45,44,18,Admin,Married
25,66160.57,58,14,Craft,Single
44,31130.28,41,6,Sales,Married
44,64549.47,16,11,Service,Single
51,51323.96,30,11,Sales,Divorced
38,41752.64,29,15,Craft,Married
47,45271.72,35,10,Craft,Single
50,67027.86,13,17,Sales,Married
45,59110.09,55,10,Service,Married
64,55754.6,31,15,Sales,Married
50,58652.44,24,19,Craft,Single
22,68921.47,49,18,Craft,Married
77,53543.51,30,10,Admin,Divorced
78,55814.78,24,11,Admin,Married
65,72072.56,31,13,Tech,Divorced
36,50026.2,37,7,Craft,Single
21,64272.11,23,11,Admin,Married
52,47444.43,36,6,Sales,Married
66,48761.99,50,9,Service,Married
34,53439.25,49,19,Sales,Married
61,62729.09,37,15,Service,Single
45,72912.73,35,8,Admin,Single
47,56448.18,58,14,Tech,Single
46,32502.45,11,8,Sales,Single
63,64471.69,34,11,Sales,Married
70,91807.63,12,6,Sales,Single
23,56630.03,17,17,Service,Single
52,29368.49,53,11,Admin,Married
77,57544.79,42,9,Sales,Married
58,54954.81,51,13,Sales,Divorced
54,53693.37,44,18,Tech,Married
41,69181.15,15,16,Tech,Single
46,75674.12,48,14,Admin,Married
66,65253.79,32,9,Admin,Married
63,53004.13,34,15,Craft,Single
70,71885.18,59,17,Tech,Married
48,32592.56,52,15,Craft,Divorced
52,44259.16,28,11,Service,Single
77,45930.58,14,6,Craft,Single
50,54535.74,20,9,Sales,Single
69,62601.02,21,12,Craft,Single
78,51989.31,19,17,Admin,Married
38,41409.46,17,6,Service,Married
49,69622.75,33,13,Sales,Single
40,51468.15,37,17,Craft,Divorced
50,56531.93,50,15,Service,Married
20,63266.02,45,17,Service,Married
35,55583.16,46,16,Sales,Married
42,55649.08,30,11,Craft,Single
59,70457.1,17,10,Service,Married
48,57270.54,18,15,Service,Married
71,67941.95,56,16,Tech,Married
75,63170.01,24,19,Service,Married
20,85253.31,57,14,Tech,Single
57,61141.2,55,7,Craft,Divorced
63,64569.6,49,10,Craft,Single
41,71524.85,27,11,Craft,Divorced
67,55954.27,51,12,Admin,Divorced
49,45432.2,29,10,Craft,Single
64,47887.82,15,14,Service,Married
39,48032.4,21,6,Sales,Single
40,40745.04,11,12,Tech,Married
19,59767.08,16,15,Admin,Married
44,45557.25,25,12,Craft,Married
59,57922.79,12,9,Craft,Divorced
19,52619.88,54,14,Sales,Married
43,54375.68,12,19,Sales,Married
34,63340.85,36,17,Admin,Married
57,46871.51,59,16,Tech,Divorced
50,64583.37,52,10,Craft,Single
26,78509.62,49,9,Admin,Divorced
60,60146.64,47,18,Service,Single
71,43268.56,42,12,Service,Married
65,45774.73,37,9,Admin,Single
56,51276.06,10,8,Craft,Single
46,46076.65,17,14,Admin,Married
59,40132.3,46,16,Craft,Married
72,57316.11,41,13,Sales,Single
43,51682.04,57,6,Admin,Single
52,57845.81,52,12,Craft,Married
67,72795.81,46,14,Admin,Divorced
42,51454.71,13,13,Admin,Single
41,37218.7,39,13,Craft,Single
30,49016.61,15,18,Craft,Married
77,66556.38,55,11,Tech,Single
75,65151.55,28,16,Admin,Married
24,62779.59,41,9,Service,Married
74,45629.4,18,13,Admin,Married
53,66278.54,21,8,Admin,Single
62,69653.49,20,18,Craft,Married
37,44568.68,55,14,Admin,Married
18,54376.45,25,18,Admin,Married
25,85306.03,10,7,Service,Married
63,43901.89,54,7,Craft,Married
33,29423.7,30,17,Admin,Married
31,75743.57,39,18,Sales,Married
29,72049.07,22,17,Tech,Divorced
68,48145.49,43,12,Service,Married
40,53305.12,13,17,Admin,Married
32,36625.97,37,15,Sales,Single
45,56334.28,47,9,Admin,Married
51,72488.71,40,15,Admin,Married
19,46860.93,36,13,Craft,Single
49,68156.53,14,14,Craft,Single
40,61955.86,34,12,Craft,Married
39,63667.25,12,10,Sales,Married
68,47735.36,42,13,Admin,Married
42,49680.64,13,9,Tech,Single
75,27298.41,34,7,Service,Married
79,46499.96,29,16,Craft,Single
78,72452.28,43,17,Craft,Married
39,41060.02,35,11,Admin,Single
75,43295.48,14,14,Admin,Single
75,64602.85,44,6,Sales,Single
39,61041.52,37,16,Sales,Single
66,65347.95,38,15,Craft,Single
69,37551.69,18,17,Admin,Single
59,93460.87,47,12,Tech,Married
23,36763.7,59,15,Service,Married
32,57313.71,15,14,Admin,Single
71,52620.17,28,15,Admin,Married
60,37200.38,53,14,Sales,Single
77,49446.86,20,15,Service,Married
54,55349.61,11,16,Craft,Single
50,45250.4,56,18,Admin,Single
25,69058.35,53,8,Craft,Married
70,52575.61,53,16,Admin,Married
77,34880.88,18,18,Craft,Divorced
61,33608.12,30,10,Service,Married
61,64092.48,33,13,Sales,Divorced
22,32698.44,43,13,Service,Single
56,59746.39,31,9,Tech,Single
21,61669.83,12,17,Sales,Single
23,40069.67,21,16,Service,Single
62,68361.07,37,16,Tech,Married
49,29233.1,39,6,Admin,Married
69,59446.88,35,6,Admin,Single
47,54387.13,57,9,Craft,Divorced
64,53215.03,30,11,Sales,Married
52,37331.55,37,13,Admin,Single
72,40944.67,35,11,Sales,Single
57,79282.03,42,17,Admin,Single
69,73227.33,30,14,Craft,Single
33,66131.27,44,14,Service,Single
30,69097.72,43,19,Craft,Married
67,67690.2,50,7,Tech,Single
77,50149.66,56,15,Admin,Single
59,55714.05,27,6,Tech,Divorced
47,32912.37,20,7,Tech,Married
36,53654.57,32,10,Sales,Divorced
34,72751.21,57,9,Admin,Single
73,45089.39,31,9,Tech,Single
36,70347.12,26,14,Service,Married
45,56373.79,14,16,Tech,Single
75,34219.42,53,13,Service,Single
72,38390.21,20,11,Sales,Married
43,68789.54,39,6,Tech,Married
54,63287.86,24,7,Craft,Married
43,56526.46,36,11,Sales,Married
70,50889.52,44,16,Service,Married
79,58158.52,42,7,Sales,Single
40,68204.44,29,18,Tech,Single
26,77137.8,25,15,Admin,Single
29,77855.26,43,10,Admin,Single
70,60579.4,11,19,Service,Divorced
18,52421.02,44,10,Service,Married
75,57193.72,49,11,Admin,Married
75,62831.81,37,11,Service,Single
18,62771.0,56,19,Sales,Single
64,74619.8,48,11,Craft,Single
51,86736.34,15,19,Craft,Single
49,51921.18,18,7,Sales,Single
79,87338.27,29,19,Craft,Married
71,72583.59,10,15,Tech,Married
65,53487.66,17,19,Sales,Married
42,77478.47,32,18,Service,Married
57,80284.72,12,19,Sales,Divorced
62,48095.57,13,8,Admin,Single
70,80983.23,34,19,Service,Single
18,71126.24,56,11,Admin,Single
33,90528.39,47,18,Service,Married
78,48639.42,24,13,Craft,Divorced
56,49698.6,30,17,Sales,Single
22,24600.07,44,18,Tech,Divorced
39,63567.91,55,16,Service,Married
46,60628.77,23,17,Service,Single
72,46555.09,45,6,Admin,Single
20,53772.24,21,6,Craft,Married
29,35331.68,26,16,Admin,Divorced
43,72976.67,48,18,Admin,Single
33,47654.51,18,7,Craft,Married
68,101410.74,44,16,Tech,Single
54,52365.98,22,17,Admin,Married
39,43605.72,24,17,Admin,Married
74,48815.3,27,11,Service,Married
46,33820.59,42,14,Craft,Married
31,62234.08,15,9,Sales,Married
45,48701.5,36,8,Tech,Divorced
22,71968.79,32,17,Tech,Single
64,50878.79,36,13,Craft,Married
66,75766.63,43,16,Service,Single
47,66361.84,55,15,Service,Married
63,55428.95,47,19,Craft,Married
79,78703.49,23,14,Service,Married
69,69284.4,45,17,Tech,Married
22,99193.19,17,16,Tech,Divorced
29,48858.17,44,10,Sales,Single
33,56149.24,28,14,Craft,Married
43,78530.64,39,7,Admin,Single
43,31846.93,23,8,Admin,Single
65,74754.15,29,12,Sales,Single
38,61589.54,58,12,Sales,Divorced
56,41676.84,34,11,Service,Divorced
53,34554.41,49,11,Sales,Divorced
50,44912.66,33,7,Sales,Divorced
79,20727.71,23,15,Admin,Single
47,47656.91,35,11,Service,Single
54,64338.35,47,9,Sales,Married
40,47855.49,32,17,Sales,Married
75,75824.69,31,8,Service,Married
27,79899.21,57,18,Craft,Single
71,74134.67,28,16,Service,Married
22,58459.61,55,18,Admin,Married
53,20129.81,12,7,Craft,Single
51,44444.54,51,6,Tech,Married
69,52869.42,28,16,Service,Married
48,41591.99,18,16,Admin,Married
27,52907.42,37,10,Craft,Single
75,79151.01,29,7,Service,Married
36,30313.35,54,7,Sales,Single
75,82175.38,16,12,Service,Single
49,68270.9,23,13,Tech,Married
18,59023.25,18,18,Service,Married
73,44295.75,28,15,Craft,Single
22,41890.74,56,13,Craft,Married
62,30606.73,23,19,Service,Married
21,80751.48,47,9,Craft,Married
33,78064.17,45,19,Sales,Married
41,33905.73,49,6,Service,Married
33,46710.58,26,16,Sales,Married
72,61497.17,39,12,Sales,Single
19,50507.36,18,6,Admin,Single
66,26219.88,42,16,Service,Married
45,45133.41,34,9,Craft,Married
49,84265.51,23,13,Sales,Married
44,46150.32,20,7,Admin,Single
37,52547.99,44,11,Service,Single
41,37822.34,50,18,Service,Married
29,63816.44,23,11,Tech,Single
67,56727.28,39,17,Tech,Married
52,43869.7,50,14,Sales,Single
77,35430.17,13,10,Tech,Married
50,76068.15,13,15,Sales,Divorced
50,30916.85,37,9,Craft,Single
78,62557.24,17,10,Sales,Married
68,22691.81,11,17,Tech,Single
60,65608.18,50,17,Craft,Married
54,69554.48,55,15,Tech,Married
29,71421.76,31,16,Sales,Married
20,52581.87,50,10,Admin,Married
